episode_id	env_time	agent_id	position
olten	1	0	(None, 0)
olten	1	1	(None, 2)
olten	1	2	(None, 2)
olten	1	3	(None, 0)
olten	1	4	(None, 0)
olten	1	5	(None, 2)
olten	1	6	(None, 2)
olten	1	7	(None, 2)
olten	1	8	(None, 2)
olten	1	9	(None, 0)
olten	1	10	(None, 3)
olten	1	11	(None, 2)
olten	1	12	(None, 0)
olten	1	13	(None, 0)
olten	1	14	(None, 3)
olten	1	15	(None, 0)
olten	1	16	(None, 1)
olten	1	17	(None, 3)
olten	1	18	(None, 2)
olten	1	19	(None, 0)
olten	1	20	(None, 2)
olten	1	21	(None, 0)
olten	1	22	(None, 0)
olten	1	23	(None, 0)
olten	1	24	(None, 2)
olten	1	25	(None, 0)
olten	1	26	(None, 3)
olten	1	27	(None, 3)
olten	1	28	(None, 0)
olten	1	29	(None, 2)
olten	1	30	(None, 0)
olten	1	31	(None, 3)
olten	1	32	(None, 0)
olten	1	33	(None, 2)
olten	1	34	(None, 0)
olten	1	35	(None, 1)
olten	1	36	(None, 0)
olten	1	37	(None, 3)
olten	1	38	(None, 3)
olten	1	39	(None, 2)
olten	1	40	(None, 1)
olten	1	41	(None, 0)
olten	1	42	(None, 0)
olten	1	43	(None, 3)
olten	1	44	(None, 3)
olten	1	45	(None, 3)
olten	1	46	(None, 3)
olten	1	47	(None, 3)
olten	1	48	(None, 2)
olten	1	49	(None, 2)
olten	1	50	(None, 2)
olten	1	51	(None, 2)
olten	2	0	((37, 7), 0)
olten	2	1	(None, 2)
olten	2	2	(None, 2)
olten	2	3	(None, 0)
olten	2	4	(None, 0)
olten	2	5	(None, 2)
olten	2	6	(None, 2)
olten	2	7	(None, 2)
olten	2	8	(None, 2)
olten	2	9	(None, 0)
olten	2	10	(None, 3)
olten	2	11	(None, 2)
olten	2	12	(None, 0)
olten	2	13	(None, 0)
olten	2	14	(None, 3)
olten	2	15	(None, 0)
olten	2	16	(None, 1)
olten	2	17	(None, 3)
olten	2	18	(None, 2)
olten	2	19	(None, 0)
olten	2	20	(None, 2)
olten	2	21	(None, 0)
olten	2	22	(None, 0)
olten	2	23	(None, 0)
olten	2	24	(None, 2)
olten	2	25	(None, 0)
olten	2	26	(None, 3)
olten	2	27	(None, 3)
olten	2	28	(None, 0)
olten	2	29	(None, 2)
olten	2	30	(None, 0)
olten	2	31	(None, 3)
olten	2	32	(None, 0)
olten	2	33	(None, 2)
olten	2	34	(None, 0)
olten	2	35	(None, 1)
olten	2	36	(None, 0)
olten	2	37	(None, 3)
olten	2	38	(None, 3)
olten	2	39	(None, 2)
olten	2	40	(None, 1)
olten	2	41	(None, 0)
olten	2	42	(None, 0)
olten	2	43	(None, 3)
olten	2	44	(None, 3)
olten	2	45	((19, 34), 3)
olten	2	46	(None, 3)
olten	2	47	(None, 3)
olten	2	48	((0, 24), 2)
olten	2	49	(None, 2)
olten	2	50	(None, 2)
olten	2	51	(None, 2)
olten	3	0	((37, 7), 0)
olten	3	1	(None, 2)
olten	3	2	(None, 2)
olten	3	3	(None, 0)
olten	3	4	(None, 0)
olten	3	5	(None, 2)
olten	3	6	(None, 2)
olten	3	7	(None, 2)
olten	3	8	(None, 2)
olten	3	9	(None, 0)
olten	3	10	(None, 3)
olten	3	11	(None, 2)
olten	3	12	(None, 0)
olten	3	13	(None, 0)
olten	3	14	(None, 3)
olten	3	15	(None, 0)
olten	3	16	(None, 1)
olten	3	17	(None, 3)
olten	3	18	(None, 2)
olten	3	19	(None, 0)
olten	3	20	(None, 2)
olten	3	21	(None, 0)
olten	3	22	(None, 0)
olten	3	23	(None, 0)
olten	3	24	(None, 2)
olten	3	25	(None, 0)
olten	3	26	(None, 3)
olten	3	27	(None, 3)
olten	3	28	(None, 0)
olten	3	29	(None, 2)
olten	3	30	(None, 0)
olten	3	31	(None, 3)
olten	3	32	(None, 0)
olten	3	33	(None, 2)
olten	3	34	(None, 0)
olten	3	35	(None, 1)
olten	3	36	(None, 0)
olten	3	37	(None, 3)
olten	3	38	(None, 3)
olten	3	39	(None, 2)
olten	3	40	(None, 1)
olten	3	41	(None, 0)
olten	3	42	(None, 0)
olten	3	43	(None, 3)
olten	3	44	(None, 3)
olten	3	45	((19, 33), 3)
olten	3	46	(None, 3)
olten	3	47	(None, 3)
olten	3	48	((1, 24), 2)
olten	3	49	(None, 2)
olten	3	50	(None, 2)
olten	3	51	(None, 2)
olten	4	0	((36, 7), 0)
olten	4	1	(None, 2)
olten	4	2	(None, 2)
