env_time	agent_id	episode_id	position
1	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
1	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
1	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
1	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	10	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	11	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
1	12	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	13	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
1	14	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	15	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	16	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
1	17	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	18	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
1	19	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 17), 0)
2	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
2	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((19, 16), 2)
2	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 15), 2)
2	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
2	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	10	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	11	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 13), 0)
2	12	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	13	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
2	14	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	15	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	16	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
2	17	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	18	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
2	19	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((19, 16), 2)
3	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 17), 0)
3	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
3	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((20, 16), 2)
3	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((7, 15), 2)
3	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
3	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	10	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	11	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 13), 0)
3	12	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	13	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 17), 0)
3	14	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	15	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	16	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 13), 0)
3	17	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	18	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
3	19	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((20, 16), 2)
4	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 17), 0)
4	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 0)
4	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((21, 16), 2)
4	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((8, 15), 2)
4	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 13), 0)
4	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((19, 16), 2)
4	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	10	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	11	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 14), 1)
4	12	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	13	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 17), 0)
4	14	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	15	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 17), 2)
4	16	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 13), 0)
4	17	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	18	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
4	19	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((21, 16), 2)
5	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 16), 3)
5	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((6, 15), 0)
5	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((22, 16), 2)
5	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((9, 15), 2)
5	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 13), 0)
5	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((20, 16), 2)
5	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((19, 16), 2)
5	10	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	11	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 14), 0)
5	12	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	13	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 17), 0)
5	14	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	15	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((7, 17), 2)
5	16	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 14), 1)
5	17	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	18	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
5	19	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
6	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((22, 16), 2)
6	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((3, 16), 0)
6	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 15), 0)
6	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((23, 16), 2)
6	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((19, 16), 2)
6	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((10, 15), 2)
6	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 14), 1)
6	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((21, 16), 2)
6	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
6	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((20, 16), 2)
6	10	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
6	11	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 15), 1)
6	12	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
6	13	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 16), 3)
6	14	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
6	15	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((8, 17), 2)
6	16	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 14), 0)
6	17	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
6	18	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
6	19	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
7	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((23, 16), 2)
7	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((2, 16), 0)
7	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 15), 0)
7	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((24, 16), 2)
7	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((20, 16), 2)
7	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((11, 15), 2)
7	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 14), 1)
7	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((22, 16), 2)
7	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
7	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((21, 16), 2)
7	10	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((19, 16), 2)
7	11	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((3, 15), 0)
7	12	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
7	13	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((3, 16), 0)
7	14	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
7	15	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((8, 16), 3)
7	16	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 14), 0)
7	17	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
7	18	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
7	19	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
8	0	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((24, 16), 2)
8	1	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((2, 15), 3)
8	2	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((4, 15), 0)
8	3	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((25, 16), 2)
8	4	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((21, 16), 2)
8	5	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((12, 15), 2)
8	6	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((5, 14), 1)
8	7	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((23, 16), 2)
8	8	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	(None, 2)
8	9	57e1ebc5-947c-4314-83c7-0d6fd76b2bd3	((22, 16), 2)
