episode_id	env_time	agent_id	action
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	2	7	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	2	10	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	2	14	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	3	1	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	3	5	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	3	7	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	3	10	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	3	13	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	3	14	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	1	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	2	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	5	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	7	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	9	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	10	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	13	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	14	3
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	4	28	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	0	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	1	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	2	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	4	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	5	3
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	7	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	9	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	10	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	13	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	14	1
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	17	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	5	28	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	0	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	1	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	2	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	4	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	5	1
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	6	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	7	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	9	3
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	10	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	11	2
c1d1c4b3-f7ea-4cf5-9985-79113f60037c	6	13	2
